Mês,País Importado,Produto,Via,FOB (US$)
12,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,154714581
11,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,150573193
1,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,129799685
11,Chile,Cobre e suas obras,MARITIMA,117659673
2,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,115480988
10,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,114547478
11,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,113440663
12,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,112276815
12,Chile,Cobre e suas obras,MARITIMA,110780210
9,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,110528310
3,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,100025864
8,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,93659735
10,Chile,Cobre e suas obras,MARITIMA,90122338
7,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,88433893
10,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,86757427
5,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,86339515
1,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,83466537
9,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,81536335
9,Chile,Cobre e suas obras,MARITIMA,80998037
2,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,78505569
2,Chile,Cobre e suas obras,MARITIMA,75752678
4,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,74373444
1,Chile,Cobre e suas obras,MARITIMA,65374644
7,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,64011804
3,Chile,Cobre e suas obras,MARITIMA,62694868
8,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,62351558
3,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,61330031
5,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,59183712
6,China,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios",MARITIMA,55164103
4,Chile,Cobre e suas obras,MARITIMA,49739269
8,Chile,Cobre e suas obras,MARITIMA,48774496
4,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,43318828
12,China,Plásticos e suas obras,MARITIMA,38975162
6,China,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",MARITIMA,37175493
11,China,Plásticos e suas obras,MARITIMA,36838176
11,China,Filamentos sintéticos ou artificiais,MARITIMA,35541868
12,China,Filamentos sintéticos ou artificiais,MARITIMA,34737441
11,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,34245322
6,China,"Ferro fundido, ferro e aço",MARITIMA,33756860
12,Estados Unidos,Plásticos e suas obras,MARITIMA,33603276
1,China,"Ferro fundido, ferro e aço",MARITIMA,33206719
1,China,Filamentos sintéticos ou artificiais,MARITIMA,33086487
10,China,Filamentos sintéticos ou artificiais,MARITIMA,32568191
11,Estados Unidos,Plásticos e suas obras,MARITIMA,32124953
12,China,"Ferro fundido, ferro e aço",MARITIMA,30451478
8,China,"Ferro fundido, ferro e aço",MARITIMA,30152347
10,China,Plásticos e suas obras,MARITIMA,29732741
3,China,"Vestuário e seus acessórios, de malha",MARITIMA,28874157
11,China,"Ferro fundido, ferro e aço",MARITIMA,27779616
12,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,27537148
11,China,Produtos químicos orgânicos,MARITIMA,27472707
11,Colômbia,Plásticos e suas obras,MARITIMA,26957160
7,China,"Ferro fundido, ferro e aço",MARITIMA,26807666
5,China,Produtos químicos orgânicos,MARITIMA,26687521
12,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,26647085
11,China,"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",MARITIMA,26089996
3,China,"Vestuário e seus acessórios, exceto de Malha",MARITIMA,25711274
2,China,Filamentos sintéticos ou artificiais,MARITIMA,25601179
2,Irã,Adubos (fertilizantes),MARITIMA,25540415
1,China,Plásticos e suas obras,MARITIMA,25128989
12,Malásia,Borracha e suas obras,MARITIMA,25117765
12,China,Produtos químicos orgânicos,MARITIMA,24991943
3,China,"Ferro fundido, ferro e aço",MARITIMA,24968944
5,China,"Ferro fundido, ferro e aço",MARITIMA,24855008
9,China,Plásticos e suas obras,MARITIMA,24631199
7,Malásia,Borracha e suas obras,MARITIMA,24586763
7,Chile,Cobre e suas obras,MARITIMA,24254489
6,Chile,Cobre e suas obras,MARITIMA,24201671
9,China,Filamentos sintéticos ou artificiais,MARITIMA,24181710
1,China,Produtos químicos orgânicos,MARITIMA,23905586
1,China,"Fibras sintéticas ou artificiais, descontínuas",MARITIMA,23492903
2,China,Plásticos e suas obras,MARITIMA,23485060
